date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
5/29/2014 12:46,2,3,66,352,13586,1386.8679,440169,0,1,9,7/20/2014,7/23/2014,2,2,1,8279,1,0,1,2,50,1230,69
12/8/2014 19:30,2,3,66,348,6782,,758292,1,0,2,1/10/2015,1/11/2015,2,2,1,11361,1,0,1,2,50,591,90
5/29/2014 10:37,2,3,66,392,44584,5078.0436,299988,0,1,5,8/20/2014,8/26/2014,2,0,1,8859,1,0,4,2,50,212,55
3/31/2014 13:18,10,0,182,416,45866,5172.8635,471696,0,0,5,4/24/2014,5/1/2014,2,0,1,8824,1,0,2,4,8,118,92
2/21/2013 17:07,2,3,66,189,19294,4026.5361,982283,0,0,9,5/22/2013,5/25/2013,4,0,2,8808,1,1,1,6,169,28,46
12/17/2014 15:19,2,3,66,220,19416,207.176,666812,1,0,9,12/19/2014,12/21/2014,2,2,1,19543,1,0,2,2,50,548,94
10/1/2014 9:24,2,3,179,410,16634,,189722,0,0,3,10/28/2014,10/30/2014,2,0,1,12057,1,0,1,4,146,1517,22
10/8/2013 13:38,27,2,46,336,48498,5474.6097,501510,0,1,9,1/11/2014,1/14/2014,2,0,1,8220,1,0,1,3,182,46,12
1/9/2014 20:38,2,3,66,220,2511,1023.2949,971616,0,0,9,2/18/2014,2/21/2014,2,0,1,11569,1,0,2,2,50,623,79
7/9/2013 22:08,2,3,215,788,20860,149.0681,166591,1,0,9,7/12/2013,7/15/2013,2,0,1,8787,1,0,1,4,8,109,40
12/1/2014 16:46,34,3,205,354,2433,,576207,1,0,9,12/1/2014,12/2/2014,2,0,1,14875,1,0,1,2,198,750,32
4/2/2013 13:34,2,3,66,174,48505,,631966,0,0,9,12/30/2013,1/2/2014,2,4,1,885,3,1,1,2,50,628,88
4/22/2014 17:27,24,2,3,83,22548,,1163110,0,0,9,3/19/2015,3/25/2015,1,0,1,8255,1,0,1,6,77,20,15
9/28/2014 17:44,53,1,69,923,1268,,325995,0,0,3,8/7/2015,8/13/2015,2,2,1,12263,6,0,1,2,50,368,28
7/14/2014 13:11,2,3,66,220,43026,1275.4364,1142613,0,1,9,7/23/2014,7/25/2014,2,2,1,8811,1,0,1,2,198,391,55
11/24/2014 11:44,2,3,66,184,11878,1624.5141,258017,0,1,0,12/3/2014,12/5/2014,1,0,1,24902,6,0,1,2,50,674,33
2/11/2013 0:47,8,4,77,977,43640,,619346,0,0,9,3/12/2013,3/14/2013,4,1,2,12356,5,0,1,3,182,46,77
2/14/2013 12:31,2,3,66,348,26037,2149.9783,815128,0,1,0,2/24/2013,2/28/2013,2,0,1,8272,1,0,3,2,50,659,0
2/12/2014 8:56,2,3,149,290,33116,,549604,0,1,2,4/17/2014,4/25/2014,2,0,1,8253,1,0,3,6,70,19,97
10/27/2013 1:05,34,3,205,135,36086,2544.1966,571427,0,1,9,1/12/2014,1/19/2014,2,1,1,8791,1,0,1,4,8,110,34
6/19/2014 15:59,17,1,133,20,3392,,996088,0,0,5,7/28/2014,7/30/2014,3,0,2,12206,6,0,1,2,50,628,24
9/15/2014 21:07,37,1,65,0,38837,,1064602,0,1,9,10/23/2014,10/27/2014,2,0,1,8739,1,0,1,6,144,4,2
5/21/2014 10:02,2,3,66,174,24103,54.934,61485,0,0,0,5/25/2014,5/26/2014,4,0,1,25331,6,0,2,2,50,366,75
6/1/2013 5:54,2,3,66,348,10388,178.3822,146895,0,0,9,6/11/2013,6/14/2013,1,0,1,8267,1,0,3,2,50,676,55
9/15/2014 13:15,2,3,66,442,35390,2550.734,1161448,0,0,9,9/16/2014,9/17/2014,4,0,4,11814,1,1,1,4,84,1937,80
10/23/2014 19:09,23,1,1,341,10541,376.7436,711681,0,1,0,11/8/2014,11/12/2014,2,0,1,12243,6,0,1,6,204,27,5
7/10/2014 20:09,2,3,66,348,53377,1569.2567,325158,0,0,1,8/15/2014,8/17/2014,2,2,1,8816,1,0,3,4,163,1935,77
11/17/2014 12:28,35,2,70,47,25914,,944607,0,1,9,12/1/2014,12/2/2014,2,0,1,20833,1,0,1,3,182,68,61
8/1/2014 20:43,2,3,66,311,24671,,692087,0,1,3,11/17/2014,11/22/2014,1,0,1,8797,1,0,1,6,144,1450,81
5/14/2013 16:49,11,3,205,343,37594,2734.081,1108350,0,1,9,7/5/2013,7/12/2013,2,0,1,8250,1,0,1,2,50,628,45
12/23/2014 0:08,2,3,66,174,26232,8452.633,922965,0,0,1,1/29/2015,2/1/2015,4,0,1,8803,1,0,1,3,151,69,12
1/8/2013 18:54,8,4,77,401,29226,3422.5046,1041297,0,0,9,1/25/2013,1/28/2013,2,0,1,11271,3,0,1,3,82,231,90
5/15/2013 16:00,8,4,77,871,1865,2798.2497,1186789,0,0,5,10/17/2013,10/24/2013,2,1,1,31484,4,0,1,3,5,1701,62
9/12/2014 13:24,2,3,66,260,2450,478.4208,331176,0,0,3,11/8/2014,11/9/2014,2,0,1,8291,1,0,1,2,50,191,37
11/9/2014 16:46,2,3,66,294,1784,5478.2376,398849,0,0,9,6/21/2015,6/22/2015,2,0,1,8746,1,0,1,6,105,29,64
1/27/2013 16:08,8,4,77,824,32450,,597904,0,0,9,2/22/2013,2/23/2013,1,0,1,12603,5,0,1,2,50,365,16
11/13/2014 8:57,29,1,52,40,29080,,1086759,0,1,0,12/12/2014,12/21/2014,1,0,1,18965,1,0,1,6,77,1410,78
7/16/2014 23:04,2,3,66,363,48454,1505.2588,984695,0,1,9,3/13/2015,3/20/2015,2,0,1,1152,1,0,1,4,47,1502,87
4/23/2014 6:12,2,3,66,337,49510,1573.0677,780963,1,1,7,6/2/2014,6/7/2014,2,0,1,11439,1,0,1,4,163,1503,65
3/7/2014 20:34,2,3,66,153,20706,4189.7884,385068,0,0,4,4/18/2014,4/20/2014,2,0,1,22869,6,0,1,4,93,2085,36
7/17/2013 16:15,34,3,205,354,53713,53.3629,883331,1,0,9,7/20/2013,7/21/2013,2,0,1,14875,1,0,1,2,198,750,19
7/11/2014 11:24,2,3,66,337,35011,51.6152,747616,0,0,2,8/12/2014,8/15/2014,2,0,1,11569,1,0,1,2,50,623,89
7/27/2014 15:56,11,3,205,354,31806,166.3164,1142876,1,0,9,8/16/2014,8/17/2014,3,2,1,25948,6,0,1,2,198,785,28
1/21/2013 11:30,14,1,214,120,44623,,775324,1,1,9,6/7/2013,6/14/2013,4,0,2,20147,1,0,1,6,111,244,76
5/14/2013 12:54,2,3,66,337,54093,,710311,0,1,9,8/8/2013,8/11/2013,2,0,2,8825,3,0,1,4,8,111,52
5/18/2014 21:14,2,3,66,174,43471,116.4261,143965,0,0,9,7/5/2014,7/6/2014,2,0,1,11620,1,0,1,2,50,369,21
10/19/2014 17:52,2,3,66,174,8198,343.3146,306971,0,0,9,11/25/2014,11/28/2014,1,0,1,8576,3,1,1,2,50,993,91
12/18/2014 16:15,11,3,205,135,30464,2316.8988,532671,0,1,5,1/9/2015,1/10/2015,2,0,1,12200,6,0,2,2,50,699,77
3/28/2013 6:52,2,3,66,363,51253,256.9433,843284,0,0,9,5/4/2013,5/5/2013,2,0,1,14875,1,0,3,2,198,750,23
7/24/2014 15:52,25,2,23,48,4924,,846266,0,0,1,8/1/2014,8/2/2014,2,0,1,8282,1,0,1,3,126,232,5
8/25/2014 14:18,2,3,66,174,37434,,932008,1,0,9,9/12/2014,9/16/2014,2,0,1,8856,1,0,1,2,50,636,92
7/5/2014 19:35,37,1,69,574,28513,,844405,1,0,1,10/18/2014,10/21/2014,2,0,1,44045,3,0,13,2,50,701,17
10/10/2014 13:43,37,1,69,941,44781,,1052069,0,0,9,1/12/2015,1/16/2015,2,0,1,8279,1,0,1,2,50,1230,83
4/16/2014 13:52,2,3,66,220,5444,1007.185,968764,0,0,3,5/4/2014,5/8/2014,4,0,2,8267,1,0,1,2,50,675,56
2/20/2014 23:09,2,3,66,174,16019,5432.4487,878508,1,0,9,5/31/2014,6/3/2014,2,1,1,12209,6,0,2,6,70,19,33
11/29/2014 20:03,2,3,66,258,22050,537.5184,128736,0,0,9,12/5/2014,12/6/2014,1,1,1,12408,5,0,1,2,50,453,59
5/28/2014 2:06,11,3,93,71,15362,,414110,0,1,9,7/26/2014,8/2/2014,2,0,1,8285,1,0,1,6,21,32,30
8/15/2014 20:35,2,3,66,196,2428,8807.3246,224309,0,0,0,2/3/2015,2/4/2015,2,0,1,12356,5,1,1,3,182,46,57
9/27/2014 11:47,24,2,215,646,51733,6490.003,855433,0,0,3,10/3/2014,10/4/2014,2,0,1,17823,1,0,1,6,105,770,15
5/10/2014 9:44,2,3,66,348,47322,8618.2251,495671,0,0,0,12/1/2014,12/4/2014,1,0,1,8220,1,0,1,3,182,46,57
8/22/2013 16:16,2,3,66,174,22475,252.0894,1139213,0,1,9,12/15/2013,12/17/2013,2,0,1,8250,1,0,4,2,50,628,79
8/9/2014 21:46,2,3,230,395,36062,,676561,0,0,9,9/7/2014,9/10/2014,1,1,1,8284,1,0,4,2,50,685,0
2/5/2014 17:37,37,1,69,778,19573,,453615,0,0,9,2/27/2014,2/28/2014,1,0,1,53494,6,0,1,6,144,1467,78
6/30/2014 23:52,2,3,93,71,15362,,326597,0,0,9,7/21/2014,7/22/2014,1,0,1,23765,1,0,1,6,22,1439,30
4/14/2014 17:04,2,3,66,220,35388,16.659,895626,0,0,0,5/24/2014,5/25/2014,2,0,1,11353,1,0,1,2,50,699,3
7/18/2014 14:19,2,3,66,174,36772,133.0093,442536,0,0,9,7/28/2014,7/29/2014,1,0,1,8278,1,0,1,2,50,368,21
4/10/2014 8:34,2,3,66,226,4859,,482841,0,0,5,4/11/2014,4/13/2014,2,0,1,17563,1,0,12,2,50,1235,42
7/21/2014 20:57,24,2,3,61,33117,,293872,0,0,0,10/30/2014,11/4/2014,1,0,1,8822,1,0,1,3,130,91,90
10/5/2014 19:18,11,3,205,135,15542,1862.8805,518896,0,0,9,11/19/2014,11/26/2014,1,0,1,44192,8,0,1,2,198,384,98
6/11/2014 8:33,2,3,66,321,47535,1287.7225,212671,0,1,9,7/3/2014,7/7/2014,2,0,1,8250,1,0,1,2,50,628,0
8/20/2014 9:51,37,1,69,747,20836,,403980,1,1,9,8/22/2014,8/25/2014,1,0,1,18108,1,0,1,6,68,1724,82
9/8/2014 15:49,2,3,66,335,5007,2669.1029,1191256,0,0,0,10/5/2014,10/6/2014,2,0,1,24279,6,0,1,2,50,355,33
11/21/2013 15:27,2,3,103,45,38784,,871191,0,0,0,11/21/2013,11/22/2013,2,0,1,22600,3,0,2,4,13,101,87
4/2/2014 6:23,34,3,205,330,43026,,524376,1,0,9,4/5/2014,4/6/2014,2,0,1,49500,4,1,1,2,198,393,15
7/16/2014 17:41,37,1,69,676,30767,,888494,0,1,9,9/3/2014,9/10/2014,2,0,1,20001,6,0,1,6,105,772,38
10/2/2014 16:25,10,0,182,416,32100,3944.3854,641348,0,0,5,10/7/2014,10/12/2014,2,0,1,11373,1,0,3,4,128,1400,31
5/11/2013 10:21,29,1,52,43,39921,,1006767,0,0,9,7/20/2013,7/22/2013,2,3,1,28510,6,0,3,2,50,1457,70
11/13/2014 6:01,2,3,66,314,45853,172.5194,207212,0,0,2,11/25/2014,11/27/2014,1,0,1,7635,3,0,1,2,50,675,5
8/10/2013 17:49,2,3,66,448,2401,254.9791,499274,0,0,0,8/20/2013,8/23/2013,2,1,1,11319,1,0,1,2,50,681,83
8/28/2014 21:39,37,1,69,541,26490,,1104451,1,0,0,10/23/2014,10/24/2014,1,0,1,23508,6,1,1,6,70,19,28
5/7/2014 7:35,2,3,66,318,27767,559.1415,1046563,0,0,7,6/8/2014,6/11/2014,2,0,1,24897,6,0,2,2,50,675,56
10/21/2013 9:53,2,3,66,311,38374,40.0874,806998,0,0,9,11/1/2013,11/4/2013,2,0,1,8809,1,0,1,2,50,698,68
8/11/2013 21:57,2,3,190,133,27383,,582185,0,0,9,8/16/2013,8/18/2013,2,0,1,8245,1,0,1,6,22,245,67
6/28/2014 22:42,29,1,52,40,29080,,840863,0,1,0,7/12/2014,7/19/2014,2,0,1,8862,1,0,1,6,204,1466,78
9/4/2014 10:30,35,2,70,49,14171,,1195600,0,0,9,9/5/2014,9/10/2014,1,0,1,22704,1,0,1,3,104,63,38
11/16/2014 10:39,2,3,66,348,48862,2562.434,124182,0,0,9,11/18/2014,11/19/2014,1,0,1,24695,6,0,1,2,50,1241,17
12/30/2014 22:49,2,3,66,174,9444,6038.7468,609673,0,0,9,2/18/2015,2/20/2015,2,0,1,33651,1,1,1,5,194,1528,67
6/12/2013 13:18,2,3,66,174,24103,111.4996,1024046,0,0,1,6/15/2013,6/16/2013,4,2,2,9147,1,0,1,2,50,367,0
12/5/2014 19:16,2,3,66,348,48862,1619.8063,435844,0,1,9,1/16/2015,1/18/2015,1,0,1,8814,1,0,1,4,51,197,0
3/13/2013 13:53,2,3,69,761,41949,,732454,1,0,9,3/19/2013,3/21/2013,2,0,1,23718,6,0,1,6,22,245,64
12/17/2014 19:36,2,3,66,260,120,1041.2205,1048830,0,0,9,12/21/2014,12/25/2014,2,0,1,8260,1,0,1,2,50,701,77
7/19/2014 6:20,24,2,3,50,5703,,5343,0,0,4,11/6/2014,11/10/2014,2,0,1,20225,6,0,1,3,182,46,62
7/29/2014 7:18,34,3,205,354,40193,1635.8733,800046,0,0,5,8/1/2014,8/3/2014,4,0,2,5405,6,0,1,4,8,126,57
7/14/2014 18:29,11,3,205,354,22772,206.2574,1108834,0,0,1,8/12/2014,8/14/2014,1,0,1,14875,1,0,1,2,198,750,47
7/24/2013 10:43,11,3,205,385,46963,0.3577,98526,0,0,0,8/11/2013,8/15/2013,2,0,1,8262,1,1,1,2,198,384,37
9/23/2014 20:29,2,3,66,174,18354,1523.3385,844779,0,1,9,12/21/2014,12/28/2014,3,2,2,8810,1,0,1,4,8,1532,85
5/25/2014 4:15,11,3,205,354,16084,337.2719,869462,0,0,9,10/10/2014,10/13/2014,2,0,1,7635,3,0,1,2,50,675,98
10/7/2014 14:43,2,3,66,293,52284,,909952,0,1,9,1/10/2015,1/15/2015,0,0,1,8250,1,0,1,2,50,628,1
2/17/2013 10:24,24,2,3,64,3169,,10427,0,1,4,5/13/2013,5/16/2013,2,0,1,8803,1,0,1,3,151,69,59
8/7/2014 13:39,2,3,66,226,2903,1740.6109,34320,0,0,3,8/20/2014,8/22/2014,2,0,1,8250,1,0,1,2,50,628,1
8/27/2013 13:42,9,1,32,583,9102,,776229,0,0,9,9/19/2013,9/22/2013,1,0,1,19799,6,0,2,3,99,47,46
10/16/2014 12:37,2,3,66,220,15627,,96929,0,0,9,11/18/2014,11/20/2014,1,0,1,8747,1,0,2,3,106,107,97
6/27/2014 16:54,2,3,66,459,20067,,51410,1,0,0,6/29/2014,6/30/2014,3,0,1,12186,6,0,1,2,50,690,21
4/2/2014 18:11,2,3,66,467,6992,,666741,0,0,9,6/7/2014,6/8/2014,2,0,1,30096,4,0,1,2,50,637,68
4/10/2014 10:27,2,3,66,363,12346,1088.8665,1070092,0,0,9,8/10/2014,8/13/2014,2,0,1,12228,6,0,2,2,50,411,37
1/14/2014 10:20,2,3,66,467,55255,137.9559,864707,0,0,9,1/17/2014,1/18/2014,2,0,1,119,1,0,2,2,50,508,32
3/12/2014 9:10,2,3,66,459,52284,1202.8231,246,0,1,2,4/21/2014,4/25/2014,1,1,1,8268,1,0,1,2,50,682,71
3/29/2014 6:16,2,3,66,220,26044,,306449,1,0,0,3/29/2014,3/30/2014,2,0,1,3281,3,0,1,2,50,191,72
7/29/2013 20:25,2,3,1,229,36480,119.4481,538078,0,0,9,7/30/2013,7/31/2013,2,0,2,47096,6,0,1,6,105,1808,36
9/26/2014 21:41,13,1,46,245,37877,451.3121,43843,0,1,9,12/18/2014,12/21/2014,2,0,1,53533,3,0,1,6,70,19,77
4/22/2013 17:53,13,1,46,347,24674,4649.2065,976429,0,0,1,8/25/2013,8/29/2013,2,0,1,11735,1,0,1,4,128,1559,96
10/24/2013 8:09,2,3,66,348,5757,3450.8885,740901,0,0,9,12/26/2013,12/29/2013,3,1,1,53533,3,0,1,6,70,19,21
7/18/2014 6:38,2,3,66,442,35390,347.764,40458,0,0,9,7/27/2014,7/28/2014,1,0,1,42980,1,0,1,2,50,416,91
7/21/2014 17:42,11,3,205,354,12380,4072.5834,248846,0,0,9,8/2/2014,8/4/2014,2,0,1,8785,1,0,1,6,105,809,36
1/3/2014 7:45,2,3,66,331,54953,120.1343,1091250,0,0,9,1/25/2014,1/26/2014,1,0,1,26501,6,0,1,2,50,1519,18
3/1/2013 17:33,11,3,205,354,25315,1067.1662,78064,0,1,9,4/27/2013,5/4/2013,1,2,1,8268,1,0,1,2,50,682,77
7/26/2014 11:03,2,3,66,337,49510,1069.6639,571370,0,1,9,8/23/2014,8/30/2014,2,2,1,11353,1,0,3,2,50,699,6
5/14/2014 21:54,23,1,1,318,2096,916.2693,345216,0,1,9,6/27/2014,7/4/2014,2,0,1,8215,1,0,1,6,208,951,93
7/20/2014 14:08,2,3,66,346,31371,90.2382,1097453,0,0,1,8/26/2014,8/27/2014,2,0,1,718,3,0,1,2,50,510,76
10/23/2014 21:31,2,3,66,331,51464,145.2953,222642,0,0,9,11/3/2014,11/4/2014,2,2,1,263,1,1,1,2,50,455,47
5/4/2014 8:59,2,3,66,258,52031,304.8857,373639,1,0,9,6/20/2014,6/22/2014,2,0,1,26988,6,0,1,2,50,590,31
11/10/2014 22:52,37,1,69,712,38761,,774192,0,1,2,11/14/2014,11/15/2014,1,0,1,30337,1,0,1,6,70,10,68
7/4/2014 9:38,2,3,66,174,47943,141.7219,578264,0,0,0,7/21/2014,7/23/2014,2,0,1,13605,4,0,1,2,50,368,37
8/20/2014 11:48,23,1,1,395,29254,4282.545,971857,0,0,5,9/3/2014,9/7/2014,2,0,1,8267,1,0,2,2,50,675,21
4/26/2013 7:11,11,3,205,354,43201,46.5761,1067156,0,0,9,5/1/2013,5/3/2013,1,0,1,12951,5,0,1,2,198,397,77
8/14/2014 14:39,2,3,66,220,40105,147.3494,925617,0,0,5,8/16/2014,8/17/2014,2,0,1,8268,1,0,1,2,50,682,16
4/4/2014 15:21,2,3,66,174,49660,2382.2352,377513,0,0,9,4/20/2014,4/23/2014,2,2,1,8791,1,0,1,4,8,110,84
6/8/2014 14:16,37,1,185,0,39557,,375068,0,1,9,4/1/2015,4/10/2015,2,0,1,8856,1,0,3,2,50,636,0
12/19/2014 9:55,34,3,205,155,40392,6331.8004,767271,0,0,9,1/15/2015,1/19/2015,2,0,1,8242,1,0,1,3,171,61,5
11/10/2014 8:06,2,3,66,348,48862,113.2769,914181,0,0,9,12/31/2014,1/1/2015,2,0,1,50689,4,0,2,2,50,544,10
10/11/2014 14:01,2,3,66,220,1437,1.3838,327924,0,0,9,11/7/2014,11/9/2014,3,3,2,8268,1,0,2,2,50,682,18
12/28/2014 16:38,23,1,11,38,27588,,535662,0,1,0,1/5/2015,1/10/2015,2,0,1,8253,1,0,1,6,70,19,70
8/21/2013 7:39,2,3,19,62,36062,,802195,0,0,9,8/22/2013,8/23/2013,1,0,1,12225,6,1,1,2,50,701,4
6/4/2014 18:19,34,3,205,135,27655,557.1187,233864,0,0,5,6/21/2014,6/22/2014,1,0,1,1901,1,0,1,2,198,401,93
12/18/2014 20:28,2,3,66,143,53117,397.7771,67826,0,0,9,12/31/2014,1/2/2015,2,0,1,8268,1,0,1,2,50,682,39
7/10/2014 17:45,2,3,66,322,23659,14.6489,142577,0,0,9,7/11/2014,7/12/2014,2,2,1,8283,1,0,1,2,50,414,7
1/10/2014 16:28,2,3,66,462,19687,8148.1357,272102,0,0,9,3/9/2014,3/11/2014,4,0,1,20116,6,0,1,3,5,1701,38
11/23/2014 12:00,2,3,66,174,16008,,370631,0,0,9,1/16/2015,1/19/2015,2,0,1,8250,1,0,2,2,50,628,1
9/22/2014 21:56,8,4,202,268,24361,,1000360,0,0,9,1/17/2015,1/18/2015,1,0,1,20113,6,0,1,3,5,1701,85
1/17/2013 11:59,2,3,66,184,28561,6849.9381,372020,0,0,9,2/3/2013,2/7/2013,1,1,1,8823,1,0,2,3,0,1447,8
7/11/2014 12:32,2,3,66,258,4687,1439.9909,1172935,0,1,9,8/10/2014,8/19/2014,2,1,1,8791,1,0,2,4,8,110,66
12/25/2014 18:41,24,2,194,38,42328,,884115,0,1,7,2/19/2015,2/21/2015,2,2,1,1398,3,0,2,3,141,1240,63
11/20/2013 4:53,2,3,149,290,33116,,699209,0,1,9,1/19/2014,1/25/2014,1,0,1,8788,1,0,1,6,77,2,95
7/3/2013 6:32,11,3,205,135,38749,1711.3495,119438,0,0,0,8/21/2013,8/22/2013,2,0,1,14875,1,0,3,2,198,750,23
6/18/2014 20:20,2,3,66,442,33392,970.0061,264941,0,1,0,8/14/2014,8/16/2014,3,2,1,28537,6,0,1,2,50,585,77
11/17/2014 16:18,9,1,32,583,563,,670060,0,0,5,12/18/2014,12/20/2014,2,0,1,11853,1,1,1,2,50,702,91
5/24/2014 14:08,8,4,77,462,3492,1608.652,1160187,1,0,1,7/25/2014,8/2/2014,2,0,1,59819,6,0,1,3,5,1701,62
10/1/2013 10:20,2,3,66,174,26232,2694.6224,966083,0,1,9,10/2/2013,10/6/2013,1,0,1,8223,1,0,4,2,50,690,56
7/10/2014 16:53,32,1,62,16,5022,,842902,0,0,5,10/1/2014,10/3/2014,3,0,3,8285,1,1,1,6,21,32,25
5/4/2014 9:22,2,3,66,351,28561,500.0599,173978,0,0,0,6/12/2014,6/16/2014,2,0,1,530,1,0,1,2,50,1249,42
4/13/2014 19:34,24,2,3,50,5224,,457127,0,0,1,4/24/2014,4/28/2014,2,0,1,8819,1,0,1,3,168,1242,9
12/1/2014 6:54,2,3,215,646,51733,319.3068,389473,0,1,2,12/26/2014,1/2/2015,2,0,1,21751,1,0,1,4,8,114,82
8/30/2014 20:05,24,2,3,50,20442,,584680,0,0,9,9/12/2014,9/13/2014,1,0,1,12209,6,0,1,6,70,19,75
7/3/2013 14:27,2,3,66,174,46432,84.5999,1131520,0,0,9,7/5/2013,7/6/2013,2,0,1,12826,5,0,3,2,50,1230,33
8/25/2014 13:30,13,1,46,419,51611,508.9888,706679,0,0,5,9/22/2014,9/25/2014,1,0,1,22988,6,1,1,6,70,1908,2
2/19/2014 3:54,2,3,69,10,26750,,393269,0,0,9,6/10/2014,6/11/2014,1,0,1,21790,6,0,1,6,105,29,22
8/9/2014 7:40,24,2,3,50,28697,,735324,0,1,1,10/22/2014,10/25/2014,2,0,1,468,1,0,1,3,48,153,41
10/22/2014 17:21,2,3,66,331,35714,430.8529,1118977,0,0,9,10/24/2014,10/25/2014,2,0,1,19363,1,0,1,2,50,585,50
9/11/2014 1:43,34,3,23,48,4924,,345528,1,1,9,11/20/2014,11/30/2014,1,0,1,792,1,0,5,6,208,1480,86
6/11/2014 6:50,11,3,205,354,21728,1852.6737,915398,0,0,2,6/16/2014,6/19/2014,2,2,1,11629,1,1,1,2,198,370,73
7/24/2014 8:15,24,2,3,51,41641,,5343,0,0,4,8/23/2014,8/26/2014,1,0,1,20225,6,0,1,3,182,46,36
9/21/2014 18:44,2,3,66,348,842,28.7777,1025373,0,0,2,9/22/2014,9/23/2014,1,0,1,26133,4,0,2,2,50,674,40
8/1/2013 12:34,18,2,119,0,47263,,57910,0,0,9,10/21/2013,10/25/2013,1,0,1,8213,1,0,1,6,68,275,51
12/26/2014 7:55,2,3,57,342,5021,,412882,0,0,9,1/7/2015,1/8/2015,1,0,1,8279,1,0,1,2,50,1230,70
10/29/2014 11:16,2,3,66,331,35714,76.9277,840869,0,0,9,11/14/2014,11/15/2014,2,0,1,8229,1,0,1,2,50,678,91
11/27/2013 10:40,2,3,66,331,36172,747.6563,1092947,0,0,9,12/5/2013,12/6/2013,1,0,1,27140,6,1,1,2,50,637,94
2/19/2013 14:22,8,4,77,977,44624,10150.6541,19275,0,0,9,6/7/2013,6/9/2013,2,0,1,20180,6,0,1,6,105,919,44
12/2/2014 7:13,2,3,66,311,38374,9657.8772,441659,0,0,2,1/4/2015,1/6/2015,2,0,1,8795,1,0,2,0,63,966,46
4/1/2013 14:50,2,3,66,174,24103,104.0409,598264,0,0,9,5/25/2013,5/27/2013,2,0,1,9147,1,0,1,2,50,367,0
6/10/2014 18:19,2,3,66,220,5444,68.9219,245767,1,0,1,6/17/2014,6/18/2014,2,0,1,13441,4,0,1,2,50,682,50
9/4/2014 21:51,2,3,66,174,31206,400.8064,110835,0,1,0,12/6/2014,12/8/2014,2,0,1,8250,1,0,2,2,50,628,1
