customer_id,age,region,segment,income,monthly_spend
63,52,South,Low Value,64519.0,1988.0
64,31,East,Low Value,48314.0,1278.0
65,34,South,Low Value,49061.0,972.0
66,53,South,High Value,64805.0,3915.0
67,67,South,High Value,66212.0,3698.0
68,57,South,Low Value,56643.0,1891.0
69,21,South,High Value,40274.0,2752.0
70,19,North,Medium Value,33585.0,1243.0
71,23,East,Medium Value,42752.0,1373.0
72,59,South,Medium Value,48077.0,1791.0
73,21,West,Low Value,27842.0,669.0
74,46,East,Low Value,73170.0,1565.0
75,35,East,Medium Value,50275.0,2001.0
76,43,South,Medium Value,54506.0,2152.0
77,61,North,Low Value,73929.0,1867.0
78,51,South,High Value,80435.0,4861.0
79,27,North,Medium Value,57930.0,2172.0
80,53,West,Low Value,44255.0,978.0
81,31,East,High Value,29245.0,1762.0
82,48,West,High Value,39666.0,2285.0
83,65,North,High Value,62779.0,3903.0
84,32,North,Low Value,42749.0,1074.0
85,25,West,Medium Value,38670.0,1827.0
86,31,North,Medium Value,26045.0,1165.0
87,40,West,Medium Value,30326.0,1379.0
88,57,East,High Value,55802.0,3368.0
89,38,West,Medium Value,56462.0,2282.0
90,33,East,High Value,53954.0,3497.0
91,62,West,High Value,84758.0,5029.0
92,35,North,High Value,44427.0,2748.0
93,64,West,Low Value,77682.0,1902.0
94,41,North,Low Value,59949.0,1458.0
95,43,West,Low Value,46581.0,989.0
96,42,West,High Value,54578.0,3163.0
97,62,South,Low Value,74287.0,1718.0
98,58,North,Medium Value,55208.0,2297.0
99,46,South,Low Value,70521.0,1919.0
100,32,North,Medium Value,41812.0,1658.0
101,62,South,High Value,68570.0,4149.0
102,18,East,High Value,20827.0,1227.0
103,42,West,Low Value,42906.0,951.0
104,24,North,High Value,13435.0,935.0
105,26,North,Medium Value,37652.0,1604.0
106,41,West,Low Value,74907.0,1589.0
107,18,North,Medium Value,20114.0,762.0
108,61,North,Medium Value,96612.0,3732.0
109,25,South,Low Value,50393.0,1201.0
110,41,North,Medium Value,45114.0,1704.0
111,28,East,Low Value,39073.0,970.0
112,68,East,Low Value,71449.0,1737.0
113,34,West,Low Value,60962.0,1471.0
114,25,North,Low Value,41420.0,1202.0
115,52,West,Low Value,71020.0,1859.0
116,52,East,Medium Value,62782.0,2406.0
117,50,North,Medium Value,56380.0,2172.0
118,22,North,Medium Value,36964.0,1552.0
119,59,West,High Value,61081.0,3738.0
120,56,East,Medium Value,48078.0,1833.0
121,58,North,Medium Value,72437.0,2862.0
122,45,West,Low Value,38238.0,1233.0
123,24,East,Low Value,32712.0,730.0
124,26,West,Medium Value,32701.0,1595.0
125,25,South,Low Value,42684.0,1233.0
126,29,North,Medium Value,55297.0,2471.0
127,51,South,Low Value,70400.0,1666.0
128,50,East,High Value,64224.0,3828.0
129,65,South,High Value,63951.0,3770.0
130,40,South,Medium Value,47165.0,2056.0
131,41,East,Low Value,46557.0,1079.0
132,54,West,Low Value,56197.0,1515.0
133,52,South,High Value,55175.0,3412.0
134,61,West,High Value,62559.0,3746.0
135,57,South,Low Value,58716.0,1663.0
136,39,West,Medium Value,57669.0,2323.0
137,44,East,Low Value,41854.0,1171.0
138,52,South,Low Value,51905.0,1223.0
139,18,East,Low Value,14466.0,253.0
140,52,South,Low Value,73355.0,1944.0
141,54,East,High Value,52935.0,3241.0
142,64,East,Medium Value,76008.0,3077.0
143,31,South,Low Value,46103.0,1101.0
144,20,South,Medium Value,45188.0,2040.0
145,18,South,High Value,28200.0,1525.0
146,22,North,High Value,24225.0,1278.0
147,43,West,Low Value,35993.0,1041.0
148,31,North,Low Value,13504.0,467.0
149,56,North,Low Value,64214.0,1658.0
150,44,East,Low Value,60155.0,1461.0
151,26,South,Low Value,41817.0,1121.0
152,32,West,Medium Value,26902.0,1334.0
153,32,East,Low Value,52588.0,1692.0
154,43,North,Low Value,44568.0,866.0
155,59,South,Low Value,56081.0,1339.0
156,30,East,Low Value,33294.0,760.0
157,68,South,Low Value,73584.0,2084.0
158,49,East,Medium Value,41803.0,1300.0
159,56,South,Low Value,62230.0,1633.0
160,66,North,Low Value,75394.0,1846.0
161,69,West,Low Value,84723.0,2364.0
162,49,North,Medium Value,58410.0,2562.0
163,21,West,Low Value,19454.0,541.0
164,47,South,Low Value,56439.0,1174.0
165,54,East,Low Value,50297.0,1171.0
166,40,North,High Value,37821.0,2200.0
167,56,West,Low Value,48973.0,1025.0
168,62,North,Medium Value,48587.0,2117.0
169,32,West,High Value,36528.0,1974.0
170,60,North,Low Value,77289.0,2227.0
171,46,West,High Value,76665.0,4894.0
172,53,West,Medium Value,54314.0,2115.0
173,30,South,Low Value,51361.0,1333.0
174,49,West,Low Value,52704.0,1307.0
175,24,South,Medium Value,18893.0,891.0
176,68,West,Medium Value,79809.0,3384.0
177,39,East,High Value,50498.0,3069.0
178,45,East,Low Value,71430.0,1856.0
179,19,East,Medium Value,15803.0,539.0
180,59,West,Low Value,93110.0,2393.0
181,62,South,High Value,83617.0,5041.0
182,23,South,Medium Value,34371.0,1238.0
183,45,West,Low Value,50264.0,1254.0
184,45,East,Low Value,46092.0,1095.0
185,61,East,Low Value,67947.0,1607.0
186,61,South,Low Value,65011.0,1453.0
187,37,East,Low Value,51588.0,1299.0
188,47,North,Medium Value,52006.0,1963.0
189,28,South,Medium Value,52950.0,2047.0
190,45,East,Medium Value,54500.0,2341.0
191,42,South,High Value,48132.0,2983.0
192,56,North,Medium Value,72843.0,2767.0
193,50,South,Medium Value,41275.0,1704.0
194,18,South,Medium Value,33710.0,1368.0
195,44,South,Low Value,52656.0,1572.0
196,69,South,Low Value,59541.0,1696.0
197,30,North,Low Value,23415.0,355.0
198,58,West,Low Value,74403.0,1989.0
199,20,South,Low Value,41628.0,1230.0
200,56,South,Low Value,64326.0,1692.0
201,23,East,High Value,51717.0,3053.0
202,25,South,Medium Value,40660.0,1988.0
203,44,East,Low Value,64898.0,1720.0
204,26,West,Low Value,41303.0,1329.0
205,54,North,Low Value,58142.0,1656.0
206,50,North,Medium Value,46925.0,1947.0
207,68,West,Medium Value,66766.0,2584.0
208,59,North,High Value,62579.0,3751.0
209,61,West,Low Value,80482.0,1979.0
210,41,West,High Value,57549.0,3271.0
211,32,West,High Value,45503.0,2828.0
212,49,North,Low Value,65350.0,1869.0
213,49,East,Medium Value,61924.0,2432.0
214,41,West,Medium Value,52469.0,2423.0
215,58,South,Medium Value,49313.0,1739.0
216,69,North,Low Value,85042.0,2284.0
217,66,West,Medium Value,66515.0,2911.0
218,66,West,Medium Value,81985.0,3249.0
219,69,South,High Value,85502.0,5102.0
220,29,East,High Value,32950.0,2133.0
221,56,East,Medium Value,72097.0,2960.0
222,19,East,High Value,27540.0,1353.0
223,20,West,Medium Value,28450.0,1011.0
224,66,West,Medium Value,73675.0,2945.0
225,54,West,Medium Value,63745.0,2344.0
226,66,North,Low Value,71486.0,1716.0
227,34,South,Medium Value,30557.0,1021.0
228,66,West,Medium Value,69886.0,2740.0
229,19,South,Medium Value,53935.0,2107.0
230,19,South,High Value,10000.0,251.0
231,45,East,Low Value,61947.0,1535.0
232,40,North,Medium Value,59571.0,2458.0
233,54,West,Medium Value,47317.0,1950.0
234,49,East,Medium Value,51956.0,2233.0
235,50,East,Medium Value,47493.0,2031.0
236,18,West,High Value,48840.0,3046.0
237,36,South,Medium Value,56630.0,2731.0
238,19,East,Low Value,42664.0,1119.0
239,61,South,Low Value,68056.0,2090.0
240,43,North,Medium Value,64671.0,2649.0
241,49,South,Low Value,56568.0,1402.0
242,23,North,Low Value,48142.0,1148.0
243,49,South,Medium Value,55163.0,2433.0
244,21,East,Low Value,26058.0,898.0
245,28,East,Medium Value,56910.0,2366.0
246,34,North,Medium Value,43692.0,1918.0
247,55,West,Medium Value,52762.0,1919.0
248,41,North,Low Value,40754.0,787.0
249,22,North,Medium Value,24634.0,1172.0
250,69,South,Low Value,82094.0,2033.0
251,51,South,Medium Value,57361.0,2407.0
252,23,North,Low Value,57530.0,1331.0
253,39,East,High Value,60012.0,3849.0
254,28,South,Medium Value,41371.0,1424.0
255,65,West,High Value,84289.0,4850.0
256,33,South,Medium Value,38095.0,1740.0
257,50,South,Low Value,38952.0,582.0
258,26,West,High Value,27204.0,1689.0
259,23,North,Low Value,36022.0,884.0
260,33,West,Low Value,40825.0,910.0
261,46,North,Low Value,62344.0,1529.0
262,20,North,Medium Value,30754.0,1103.0
263,37,North,Medium Value,53930.0,2389.0
264,53,West,Low Value,75060.0,2147.0
265,36,North,High Value,44323.0,2557.0
266,43,East,Low Value,57101.0,1469.0
267,20,West,Low Value,14452.0,163.0
268,36,East,Low Value,44361.0,1270.0
269,37,North,Low Value,34130.0,1010.0
270,49,South,Medium Value,58102.0,2280.0
271,24,North,Medium Value,37760.0,1513.0
272,69,East,Medium Value,75977.0,3025.0
273,58,East,Low Value,59499.0,1245.0
274,50,West,Low Value,80485.0,2244.0
275,57,South,Low Value,50770.0,1154.0
276,56,West,High Value,49309.0,2844.0
277,35,East,Low Value,61300.0,1510.0
278,57,North,Medium Value,56407.0,2406.0
279,18,South,High Value,20853.0,1162.0
280,28,North,Medium Value,61829.0,2180.0
281,45,North,High Value,63107.0,3653.0
282,42,South,Low Value,44755.0,1183.0
283,67,West,Medium Value,74125.0,3293.0
284,40,North,Medium Value,68459.0,2549.0
285,48,East,Medium Value,62716.0,2314.0
286,47,North,Low Value,67811.0,1468.0
287,59,South,Low Value,73198.0,1584.0
288,52,South,Low Value,68503.0,1893.0
289,24,South,Medium Value,35797.0,1656.0
290,33,West,High Value,43163.0,2616.0
291,43,North,Medium Value,54221.0,2099.0
292,65,West,Low Value,77595.0,2209.0
293,69,West,High Value,70817.0,4275.0
294,66,South,Low Value,72321.0,1971.0
295,19,South,Low Value,28047.0,624.0
296,18,West,Low Value,31457.0,793.0
297,65,North,Medium Value,57740.0,2124.0
298,29,East,Low Value,65710.0,1737.0
299,22,West,Medium Value,26371.0,1083.0
300,54,North,High Value,57285.0,3303.0
